year,ASTR issued NSLs,US ROIs,US targets,non-US ROIs,non-US targets,subscriber ROIs,subscriber targets,total ROIs,ASTR ROIs,subscriber ROIs inferred (total ROIs - non-US ROIs - US ROIs),subscriber + non-US ROIs inferred (total - US ROIs)
1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,#N/A,6519,#N/A,10232,#N/A,#N/A,#N/A,39346,#N/A,22595,#N/A
2004,#N/A,8943,#N/A,8494,#N/A,#N/A,#N/A,56507,#N/A,39070,#N/A
2005,#N/A,9254,3501,8536,#N/A,#N/A,#N/A,47221,#N/A,29431,#N/A
2006,#N/A,12583,4790,8605,#N/A,#N/A,#N/A,49425,#N/A,28237,#N/A
2007,#N/A,16804,4327,7260,#N/A,#N/A,#N/A,39403,#N/A,15339,#N/A
2008,#N/A,24744,7225,6466,#N/A,#N/A,#N/A,41299,#N/A,10089,#N/A
2009,#N/A,14788,6114,8107,#N/A,#N/A,#N/A,30442,#N/A,7547,#N/A
2010,#N/A,24287,14212,#N/A,#N/A,#N/A,#N/A,54935,#N/A,#N/A,30648
2011,#N/A,16511,7201,#N/A,#N/A,#N/A,#N/A,46648,#N/A,#N/A,30137
2012,#N/A,15229,6223,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,19212,14219,5334,#N/A,#N/A,#N/A,#N/A,#N/A,38832,#N/A,#N/A
2014,16348,12453,4699,#N/A,#N/A,#N/A,#N/A,#N/A,33024,#N/A,#N/A
2015,12870,9418,3746,31863,2053,7361,3347,48642,48642,#N/A,#N/A
2016,12150,8727,3117,6651,2310,9432,3725,24810,24801,#N/A,#N/A
2017,12762,9006,2983,14861,3084,17712,4598,41579,41579,#N/A,#N/A
2018,10235,11454,2768,14481,2717,12937,4432,38872,38872,#N/A,#N/A
2019,13850,8557,3643,35848,11383,19601,4490,64006,63466,#N/A,#N/A
2020,9682,6670,1915,6187,1454,11368,3695,24225,24225,#N/A,#N/A
2021,12362,7607,2427,9486,2067,14732,3745,31825,39214,#N/A,#N/A
2022,10941,8587,2453,9103,2216,14927,4239,32617,32617,#N/A,#N/A
