issue date, release date, company, file number, url, comment
2017-12-28,2021-07-26,Apple,435681,https://www.apple.com/legal/transparency/pdf/NSL-17-435681.pdf,
2017-07-17,2021-01-29,Apple,430590,https://www.apple.com/legal/transparency/pdf/NSL-17-430590.pdf,
2017-09-18,2021-01-04,Apple,432056,https://www.apple.com/legal/transparency/pdf/NSL-17-432056.pdf,
2017-11-20,2020-05-12,Apple,434038,https://www.apple.com/legal/transparency/pdf/NSL-17-434038.pdf,
2017-12-28,2020-02-19,Apple,435520,https://www.apple.com/legal/transparency/pdf/NSL-17-435520.pdf,
2017-04-07,2021-07-26,Apple,428677,https://www.apple.com/legal/transparency/pdf/NSL-17-428677.pdf,
2017-06-26,2021-02-16,Apple,430737,https://www.apple.com/legal/transparency/pdf/NSL-17-430737.pdf,
2017-03-14,2020-06-30,Apple,1,https://www.apple.com/legal/transparency/pdf/NSL-17-428654-1.pdf,
2017-03-14,2020-06-30,Apple,2,https://www.apple.com/legal/transparency/pdf/NSL-17-428654-2.pdf,
2016-06-23,2021-07-26,Apple,422566,https://www.apple.com/legal/transparency/pdf/NSL-16-422566.pdf,
2015-09-17,2023-04-19,Apple,418319,https://www.apple.com/legal/transparency/pdf/NSL-15-418319.pdf,
2015-04-08,2017-02-25,Apple,413741,https://www.apple.com/legal/transparency/pdf/NSL-15-413741.pdf,
2022-04-15,2022-11-09,Apple,545835,https://www.apple.com/legal/transparency/pdf/NSL-22-545835.pdf,
2022-03-21,2022-11-07,Apple,545095,https://www.apple.com/legal/transparency/pdf/NSL-22-545095.pdf,
2021-04-27,2023-07-06,Apple,536533,https://www.apple.com/legal/transparency/pdf/NSL-21-536533.pdf,
2021-03-10,2022-09-21,Apple,535092,https://www.apple.com/legal/transparency/pdf/NSL-21-535092.pdf,
2021-03-31,2021-08-12,Apple,531193,https://www.apple.com/legal/transparency/pdf/NSL-21-531193.pdf,
2020-09-18,2023-04-26,Apple,520494,https://www.apple.com/legal/transparency/pdf/NSL-20-520494.pdf,
2020-08-03,2023-03-08,Apple,518212,https://www.apple.com/legal/transparency/pdf/NSL-20-518212.pdf,
2020-08-18,2022-12-13,Apple,518093,https://www.apple.com/legal/transparency/pdf/NSL-20-518093.pdf,
2020-03-03,2021-10-18,Apple,507834,https://www.apple.com/legal/transparency/pdf/NSL-20-507834.pdf,
2020-05-14,2021-02-05,Apple,508552,https://www.apple.com/legal/transparency/pdf/NSL-20-508552.pdf,
2019-07-02,2022-10-17,Apple,487709,https://www.apple.com/legal/transparency/pdf/NSL-19-487709.pdf,
2019-10-04,2021-02-21,Apple,499159,https://www.apple.com/legal/transparency/pdf/NSL-19-499159.pdf,
2019-07-07,2021-02-03,Apple,473948,https://www.apple.com/legal/transparency/pdf/NSL-19-473948.pdf,
2019-10-17,2020-07-24,Apple,499673,https://www.apple.com/legal/transparency/pdf/NSL-19-499673.pdf,
2019-07-23,2020-07-15,Apple,483160,https://www.apple.com/legal/transparency/pdf/NSL-19-483160.pdf,
2019-06-04,2023-01-24,Apple,483887,https://www.apple.com/legal/transparency/pdf/NSL-19-483887.pdf,
2019-02-12,2022-11-02,Apple,468627,https://www.apple.com/legal/transparency/pdf/NSL-19-468627.pdf,
2019-06-18,2022-06-02,Apple,485768,https://www.apple.com/legal/transparency/pdf/NSL-19-485768.pdf,
2019-05-24,2022-06-02,Apple,481547,https://www.apple.com/legal/transparency/pdf/NSL-19-481547.pdf,
2019-01-09,2022-04-06,Apple,467961,https://www.apple.com/legal/transparency/pdf/NSL-19-467961.pdf,
2019-02-12,2021-03-29,Apple,470447,https://www.apple.com/legal/transparency/pdf/NSL-19-470447.pdf,
2019-01-31,2020-07-24,Apple,1,https://www.apple.com/legal/transparency/pdf/NSL-19-468088-1.pdf,
2019-01-31,2020-07-24,Apple,2,https://www.apple.com/legal/transparency/pdf/NSL-19-468088-2.pdf,
2018-07-30,2021-07-26,Apple,453528,https://www.apple.com/legal/transparency/pdf/NSL-18-453528.pdf,
2018-07-18,2021-04-02,Apple,452121,https://www.apple.com/legal/transparency/pdf/NSL-18-452121.pdf,
2018-12-18,2020-07-29,Apple,466291,https://www.apple.com/legal/transparency/pdf/NSL-18-466291.pdf,
2018-08-28,2019-05-06,Apple,450995,https://www.apple.com/legal/transparency/pdf/NSL-18-450995.pdf,
2018-12-27,2019-05-05,Apple,466228,https://www.apple.com/legal/transparency/pdf/NSL-18-466228.pdf,
2018-12-06,2019-05-05,Apple,463687,https://www.apple.com/legal/transparency/pdf/NSL-18-463687.pdf,
2018-04-19,2021-04-02,Apple,444810,https://www.apple.com/legal/transparency/pdf/NSL-18-444810.pdf,
2018-04-24,2020-12-02,Apple,444387,https://www.apple.com/legal/transparency/pdf/NSL-18-444387.pdf,
2018-03-15,2019-04-09,Apple,440748,https://www.apple.com/legal/transparency/pdf/NSL-18-440748.pdf,
