issue date,release date,company,file number,url,comment
2020-03-04,2024-01-10,Google,508732,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-508732/NSL-20-508732-request-redacted.pdf,
2014-11-24,2023-12-04,Google,403836,https://storage.googleapis.com/transparencyreport/legal/NSLs/14-403836/NSL-14-403836-request-redacted.pdf,
2019-11-15,2023-11-29,Google,492212,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-492212/NSL-19-492212-request-redacted.pdf,
2014-10-06,2023-11-27,Google,397200,https://storage.googleapis.com/transparencyreport/legal/NSLs/14-397200/NSL-14-397200-request-redacted.pdf,
2017-05-08,2023-10-23,Google,429526,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-429526/NSL-17-429526-request-redacted.pdf,
2021-10-19,2023-10-16,Google,542008,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-542008/NSL-21-542008-request-redacted.pdf,
2020-07-28,2023-10-06,Google,517093,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-517093/NSL-20-517093-request-redacted.pdf,
2020-10-22,2023-10-03,Google,521515,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-521515/NSL-20-521515-request-redacted.pdf,
2022-05-26,2023-10-02,Google,546665,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546665/NSL-22-546665-request-redacted.pdf,
2021-11-10,2023-09-27,Google,542755,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-542755/NSL-21-542755-request-redacted.pdf,
2021-03-02,2023-09-22,Google,533612,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-533612/NSL-21-533612-request-redacted.pdf,
2021-12-21,2023-09-22,Google,543479,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-543479/NSL-21-543479-request-redacted.pdf,
2021-05-17,2023-09-12,Google,539034,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-539034/NSL-21-539034-request-redacted.pdf,
2021-04-19,2023-09-11,Google,538556,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-538556/NSL-21-538556-request-redacted.pdf,
2021-04-19,2023-09-11,Google,538556-2,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-538556-2/NSL-21-538556-2-request-redacted.pdf,
2022-03-28,2023-08-28,Google,545298,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-545298/NSL-22-545298-request-redacted.pdf,
2021-08-03,2023-08-21,Google,540756,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-540756/NSL-21-540756-request-redacted.pdf,
2021-11-19,2023-08-21,Google,542950,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-542950/NSL-21-542950-request-redacted.pdf,
2020-02-05,2023-07-31,Google,506439,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-506439/NSL-20-506439-request-redacted.pdf,
2022-05-26,2023-07-21,Google,546671,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546671/NSL-22-546671-request-redacted.pdf,
2022-05-26,2023-07-21,Google,546672,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546672/NSL-22-546672-request-redacted.pdf,
2022-05-26,2023-07-21,Google,546674,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546674/NSL-22-546674-request-redacted.pdf,
2022-05-26,2023-07-21,Google,546675,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546675/NSL-22-546675-request-redacted.pdf,
2022-05-26,2023-07-21,Google,546677,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546677/NSL-22-546677-request-redacted.pdf,
2022-05-26,2023-07-21,Google,546713,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546713/NSL-22-546713-request-redacted.pdf,
2022-05-26,2023-07-21,Google,546752,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546752/NSL-22-546752-request-redacted.pdf,
2022-05-31,2023-07-21,Google,546768,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546768/NSL-22-546768-request-redacted.pdf,
2022-06-07,2023-07-21,Google,546804,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546804/NSL-22-546804-request-redacted.pdf,
2022-06-07,2023-07-21,Google,546812,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546812/NSL-22-546812-request-redacted.pdf,
2022-06-07,2023-07-21,Google,546813,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546813/NSL-22-546813-request-redacted.pdf,
2022-06-07,2023-07-21,Google,546815,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546815/NSL-22-546815-request-redacted.pdf,
2022-06-07,2023-07-21,Google,546816,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546816/NSL-22-546816-request-redacted.pdf,
2022-06-07,2023-07-21,Google,546817,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546817/NSL-22-546817-request-redacted.pdf,
2022-06-24,2023-07-21,Google,547231,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-547231/NSL-22-547231-request-redacted.pdf,
2022-05-26,2023-07-19,Google,546686,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546686/NSL-22-546686-request-redacted.pdf,
2022-05-26,2023-07-19,Google,546687,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546687/NSL-22-546687-request-redacted.pdf,
2022-05-26,2023-07-19,Google,546711,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546711/NSL-22-546711-request-redacted.pdf,
2023-05-26,2023-07-19,Google,546712,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546712/NSL-22-546712-request-redacted.pdf,
2022-05-26,2023-07-19,Google,546767,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546767/NSL-22-546767-request-redacted.pdf,
2016-12-22,2023-07-13,Google,426847,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-426847/NSL-16-426847-request-redacted.pdf,
2017-04-27,2023-07-13,Google,429580,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-429580/NSL-17-429580-request-redacted.pdf,
2021-04-27,2023-07-06,Google,536533,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-536533/NSL-21-536533-request-redacted.pdf,
2021-09-08,2023-06-05,Google,540655,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-540655/NSL-21-540655-request-redacted.pdf,
2012-08-09,2023-05-02,Google,353891,https://storage.googleapis.com/transparencyreport/legal/NSLs/12-353891/NSL-12-353891-request-redacted.pdf,
2013-08-31,2023-05-02,Google,372448,https://storage.googleapis.com/transparencyreport/legal/NSLs/13-372448/NSL-13-372448-request-redacted.pdf,
2015-12-07,2023-04-20,Google,419455,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-419455/NSL-15-419455-request-redacted.pdf,
2018-10-29,2023-04-05,Google,461627,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-461627/NSL-18-461627-request-redacted.pdf,
2020-02-24,2023-03-10,Google,508618,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-508618/NSL-20-508618-request-redacted.pdf,
2020-08-03,2023-03-08,Google,518212,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-518212/NSL-20-518212-request-redacted.pdf,
2016-08-29,2023-02-27,Google,424330,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-424330/NSL-16-424330-request-redacted.pdf,
2017-01-11,2023-02-17,Google,427211,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-427211/NSL-17-427211-request-redacted.pdf,
2017-01-20,2023-02-17,Google,427426,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-427426/NSL-17-427426-request-redacted.pdf,
2017-02-03,2023-02-17,Google,427772,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-427772/NSL-17-427772-request-redacted.pdf,
2011-06-13,2023-02-15,Google,334467,https://storage.googleapis.com/transparencyreport/legal/NSLs/11-334467/NSL-11-334467-request-redacted.pdf,
2019-12-09,2023-02-06,Google,498972,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-498972/NSL-19-498972-request-redacted.pdf,
2019-09-05,2023-02-03,Google,496932,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-496932/NSL-19-496932-request-redacted.pdf,
2020-02-23,2023-02-03,Google,507535,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-507535/NSL-20-507535-request-redacted.pdf,
2021-03-24,2023-02-02,Google,535052,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-535052/NSL-21-535052-request-redacted.pdf,
2021-04-09,2023-02-02,Google,538177,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-538177/NSL-21-538177-request-redacted.pdf,
2020-03-03,2023-01-27,Google,507154,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-507154/NSL-20-507154-request-redacted.pdf,
2020-08-24,2023-01-27,Google,516032,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-516032/NSL-20-516032-request-redacted.pdf,
2020-10-13,2023-01-27,Google,521393,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-521393/NSL-20-521393-request-redacted.pdf,
2021-02-24,2023-01-27,Google,528192,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-528192/NSL-21-528192-request-redacted.pdf,
2019-06-04,2023-01-24,Google,483887,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-483887/NSL-19-483887-request-redacted.pdf,
2022-06-06,2022-12-28,Google,546869,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-546869/NSL-22-546869-request-redacted.pdf,
2021-02-04,2022-12-21,Google,529372,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-529372/NSL-21-529372-request-redacted.pdf,
2021-02-02,2022-12-20,Google,525232(a),https://storage.googleapis.com/transparencyreport/legal/NSLs/20-525232(a)/NSL-20-525232(a)-request-redacted.pdf,
2021-02-02,2022-12-20,Google,525232(b),https://storage.googleapis.com/transparencyreport/legal/NSLs/20-525232(b)/NSL-20-525232(b)-request-redacted.pdf,
2020-08-18,2022-12-13,Google,518093,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-518093/NSL-20-518093-request-redacted.pdf,
2018-12-14,2022-12-06,Google,465938,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-465938/NSL-18-465938-request-redacted.pdf,
2019-06-24,2022-12-06,Google,486847,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-486847/NSL-19-486847-request-redacted.pdf,
2018-12-20,2022-11-28,Google,462834,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-462834/NSL-18-462834-request-redacted.pdf,
2016-03-17,2022-11-09,Google,421424,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-421424/NSL-16-421424-request-redacted.pdf,
2022-04-15,2022-11-09,Google,545835,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-545835/NSL-22-545835-request-redacted.pdf,
2019-05-05,2022-11-08,Google,480650,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-480650/NSL-19-480650-request-redacted.pdf,
2022-03-10,2022-11-07,Google,545099,https://storage.googleapis.com/transparencyreport/legal/NSLs/22-545099/NSL-22-545099-request-redacted.pdf,
2019-02-12,2022-11-02,Google,468627,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-468627/NSL-19-468627-request-redacted.pdf,
2015-06-08,2022-11-01,Google,415616,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-415616/NSL-15-415616-request-redacted.pdf,
2015-09-21,2022-11-01,Google,417077,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-417077/NSL-15-417077-request-redacted.pdf,
2017-04-12,2022-10-27,Google,428937,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-428937/NSL-17-428937-request-redacted.pdf,
2016-01-15,2022-10-26,Google,419402 (b),https://storage.googleapis.com/transparencyreport/legal/NSLs/15-419402%20(b)/NSL-15-419402%20(b)-request-redacted.pdf,
2016-01-15,2022-10-26,Google,419402(a),https://storage.googleapis.com/transparencyreport/legal/NSLs/15-419402(a)/NSL-15-419402(a)-request-redacted.pdf,
2019-04-16,2022-10-04,Google,478371,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-478371/NSL-19-478371-request-redacted.pdf,
2017-05-12,2022-09-27,Google,429795,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-429795/NSL-17-429795-request-redacted.pdf,
2021-03-26,2022-09-20,Google,536932,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-536932/NSL-21-536932-request-redacted.pdf,
2021-04-20,2022-09-20,Google,538486,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-538486/NSL-21-538486-request-redacted.pdf,
2017-06-19,2022-09-13,Google,430196,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-430196/NSL-17-430196-request-redacted.pdf,
2019-06-02,2022-09-06,Google,482527,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-482527/NSL-19-482527-request-redacted.pdf,
2019-11-18,2022-08-26,Google,501598,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-501598/NSL-19-501598-request-redacted.pdf,
2014-04-11,2022-08-16,Google,384076,https://storage.googleapis.com/transparencyreport/legal/NSLs/14-384076/NSL-14-384076-request-redacted.pdf,
2021-09-16,2022-08-15,Google,541560,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-541560/NSL-21-541560-request-redacted.pdf,
2019-07-02,2022-07-19,Google,486387,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-486387/NSL-19-486387-request-redacted.pdf,
2013-01-11,2022-07-12,Google,360551,https://storage.googleapis.com/transparencyreport/legal/NSLs/13-360551/NSL-13-360551-request-redacted.pdf,
2016-12-12,2022-06-06,Google,425566,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-425566/NSL-16-425566-request-redacted.pdf,
2017-07-18,2022-06-06,Google,426958(a),https://storage.googleapis.com/transparencyreport/legal/NSLs/16-426958(a)/NSL-16-426958(a)-request-redacted.pdf,
2017-07-18,2022-06-06,Google,426958(b),https://storage.googleapis.com/transparencyreport/legal/NSLs/16-426958(b)/NSL-16-426958(b)-request-redacted.pdf,
2020-05-05,2022-06-02,Google,511736,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-511736/NSL-20-511736-request-redacted.pdf,
2020-10-21,2022-05-19,Google,520999,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-520999/NSL-20-520999-request-redacted.pdf,
2019-01-15,2022-05-10,Google,466427,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-466427/NSL-18-466427-request-redacted.pdf,
