TR Start Date,TR End Date,TYPE OF DOCUMENT,Country,Content/Non-Content,Data Provided,Rejected,No Responsive Data
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request (1 of 2),Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request (2 of 2),Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request (1 of 2),Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request (2 of 2),Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request (1 of 2),Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request (2 of 2),Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,N,N,Y
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Germany,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,United Kingdom,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,United Kingdom,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,India,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,India,Non-Content,N,N,Y
01/01/2022,30/06/2022,Government Subpoena,India,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,Netherlands,Non-Content,N,N,Y
01/01/2022,30/06/2022,Law Enforcement Request,Poland,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Government Subpoena,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Government Subpoena,United States,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,Y,N,N
01/01/2022,30/06/2022,Government Subpoena,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,Y,N
01/01/2022,30/06/2022,Government Subpoena,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Government Subpoena,United States,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,Y,N,N
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,Y,N
01/01/2022,30/06/2022,Law Enforcement Request,United States,Non-Content,N,Y,N
01/01/2022,30/06/2022,Government Subpoena,United States,Non-Content,N,N,Y
01/01/2022,30/06/2022,Government Subpoena,United States,Non-Content,N,Y,N
01/01/2022,30/06/2022,Government Subpoena,United States,Content,N,Y,N
