Reporting period ending date,Number of requests (range MIN),Number of requests (range MAX),Number of accounts (range MIN),Number of accounts (range MAX)
2021-12-31,0,499,28000,28499
2021-06-30,0,499,27000,27499
2020-12-31,0,499,21500,21999
2020-06-30,0,499,22000,22499
2019-12-31,0,499,30000,30499
2019-06-30,0,499,28500,28999
2018-12-31,0,499,23000,23499
2018-06-30,0,499,22000,22499
2017-12-31,0,499,16000,16499
2017-06-30,0,499,12000,12499
2016-12-31,0,499,7000,7499
2016-06-30,0,499,2000,2499
2015-12-31,0,499,500,999
2015-06-30,0,499,0,499
2014-12-31,0,499,0,499
2014-06-30,0,499,0,499
2013-12-31,0,499,0,499
2013-06-30,0,499,0,499
2012-12-31,0,499,0,499
2012-06-30,0,499,0,499
2011-12-31,0,499,0,499
2011-06-30,0,499,500,999
2010-12-31,0,499,500,999
2010-06-30,0,499,0,499
2009-12-31,0,499,0,499
2009-06-30,0,499,0,499
