U.S. Law Enforcement Requests,,,,,
Government requests,Total requests,Total requests withdrawn/no data found,Total where some data was produced,Total driver/ rider accounts produced,%Total where some data was produced
State,"3,192",910,"2,282","6,185",71%
Federal,633,172,461,"10,161",73%
,,,,,
,,,,,
Government requests,Driver accounts requested,Rider accounts requested,Total requests,Total where some data was produced,%Total where some data was produced
Subpoena + Summons,"3,335","13,791","2,106","1,537",73%
Search Warrant,"1,135","1,532",629,531,84%
Emergency,858,844,972,597,61%
Court Order + Production Order,258,160,118,78,66%
,,,,,
,,,,,
Rider accounts requested,Driver accounts requested,Total requests where some data was produced,Compliance,,%Compliance
"16,327","5,586","2,743",Fully complied,1791,47%
,,%Total requests where some data was produced,Partially complied,952,25%
,,72%,Withdrawn/ no data found,1082,28%
,,,,,
Canada Law Enforcement Requests,,,,,
Request type,Driver accounts requested,Rider accounts requested,Total where some data was produced,Total requests,%Total where some data was produced
Legal Process,226,230,57,63,90%
Emergency,45,92,61,98,62%
